"freq
References : ['real(S(1,1))','imag(S(1,1))','real(SP1.SP.S(1,2))','imag(SP1.SP.S(1,2))','real(SP1.SP.S(2,1))','imag(SP1.SP.S(2,1))','real(SP1.SP.S(2,2))','imag(SP1.SP.S(2,2))']
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real"
1.590E9Hz,-8.321E-1,4.135E-1,1.902E-2,-4.748E-3,1.718E-1,3.086E0,-6.523E-1,2.442E-1
1.600E9Hz,-8.293E-1,4.177E-1,1.913E-2,-5.125E-3,2.021E-1,3.088E0,-6.536E-1,2.442E-1
1.610E9Hz,-8.222E-1,4.187E-1,1.915E-2,-5.041E-3,2.166E-1,3.064E0,-6.487E-1,2.459E-1
1.620E9Hz,-8.278E-1,4.255E-1,1.966E-2,-5.439E-3,2.539E-1,3.043E0,-6.479E-1,2.524E-1
1.630E9Hz,-8.243E-1,4.286E-1,1.924E-2,-5.087E-3,2.694E-1,3.022E0,-6.488E-1,2.522E-1
1.640E9Hz,-8.201E-1,4.287E-1,1.937E-2,-5.384E-3,3.030E-1,3.028E0,-6.521E-1,2.588E-1
1.650E9Hz,-8.182E-1,4.292E-1,1.899E-2,-5.621E-3,3.071E-1,2.992E0,-6.516E-1,2.569E-1
1.660E9Hz,-8.176E-1,4.265E-1,1.890E-2,-5.551E-3,3.188E-1,2.963E0,-6.471E-1,2.607E-1
1.670E9Hz,-8.177E-1,4.367E-1,1.887E-2,-5.669E-3,3.638E-1,2.979E0,-6.481E-1,2.652E-1
1.680E9Hz,-8.206E-1,4.415E-1,1.936E-2,-5.422E-3,3.782E-1,2.953E0,-6.425E-1,2.615E-1
1.690E9Hz,-8.241E-1,4.451E-1,1.943E-2,-5.530E-3,3.816E-1,2.951E0,-6.492E-1,2.595E-1
1.700E9Hz,-8.128E-1,4.440E-1,1.947E-2,-5.753E-3,4.014E-1,2.928E0,-6.450E-1,2.597E-1
1.710E9Hz,-8.162E-1,4.493E-1,1.889E-2,-5.605E-3,4.356E-1,2.913E0,-6.445E-1,2.665E-1
1.720E9Hz,-8.206E-1,4.593E-1,1.888E-2,-5.619E-3,4.554E-1,2.895E0,-6.411E-1,2.639E-1
